Root_Cause,CPU_Usage,RAM_Usage,API_Latency,Error_Rate
Healthy,Normal,Normal,Normal,Zero
App_Crash,Normal,Normal,Normal,Spiking
Network_Partition,Normal,Normal,Timeout,Spiking
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Compute_Overload,High,Normal,Timeout,Zero
App_Crash,Normal,Normal,Normal,Spiking
Healthy,Normal,Normal,Normal,Zero
Compute_Overload,Critical,Normal,Elevated,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Memory_Leak,Normal,Critical,Elevated,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,High,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Memory_Leak,Normal,Critical,Elevated,Zero
Healthy,Normal,Normal,Normal,Zero
Network_Partition,Normal,Normal,Timeout,Spiking
Healthy,Normal,Normal,Normal,Zero
Memory_Leak,Normal,Critical,Elevated,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Compute_Overload,High,Normal,Elevated,Zero
Healthy,Normal,Normal,Normal,Zero
Compute_Overload,Critical,Normal,Elevated,Zero
Memory_Leak,Normal,High,Elevated,Zero
Network_Partition,Normal,Normal,Timeout,Zero
Compute_Overload,Critical,Normal,Elevated,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,High,Normal,Normal,Zero
Compute_Overload,Critical,Normal,Timeout,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Compute_Overload,High,Normal,Elevated,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Elevated,Zero
Memory_Leak,Normal,Critical,Elevated,Zero
Healthy,Normal,Normal,Normal,Zero
Memory_Leak,Normal,Critical,Elevated,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,High,Normal,Normal,Zero
Compute_Overload,Critical,Normal,Timeout,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Memory_Leak,Normal,Critical,Elevated,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Compute_Overload,High,Normal,Timeout,Zero
Healthy,Normal,Normal,Elevated,Zero
Network_Partition,Normal,Normal,Timeout,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Memory_Leak,Normal,Critical,Elevated,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,High,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Compute_Overload,High,Normal,Elevated,Zero
Memory_Leak,Normal,Critical,Timeout,Zero
Compute_Overload,High,Normal,Elevated,Zero
Healthy,Normal,Normal,Normal,Zero
Network_Partition,Normal,Normal,Timeout,Spiking
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,High,Elevated,Zero
Memory_Leak,Normal,High,Timeout,Zero
Compute_Overload,Critical,Normal,Timeout,Zero
Healthy,Normal,Normal,Normal,Zero
Compute_Overload,High,Normal,Elevated,Zero
Compute_Overload,Critical,Normal,Elevated,Zero
App_Crash,Normal,Normal,Elevated,Spiking
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Elevated,Zero
App_Crash,Normal,Normal,Normal,Spiking
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Memory_Leak,Normal,Critical,Elevated,Zero
Compute_Overload,Critical,Normal,Timeout,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Memory_Leak,Normal,Critical,Elevated,Zero
App_Crash,Normal,Normal,Normal,Spiking
Healthy,Normal,Normal,Normal,Zero
Compute_Overload,Critical,Normal,Elevated,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Memory_Leak,Normal,Critical,Elevated,Zero
Memory_Leak,Normal,Critical,Elevated,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,High,Normal,Normal,Zero
Healthy,Normal,Normal,Elevated,Zero
Memory_Leak,Normal,Critical,Elevated,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Elevated,Zero
Memory_Leak,Normal,High,Elevated,Zero
Compute_Overload,Critical,Normal,Timeout,Zero
App_Crash,Normal,Normal,Normal,Spiking
Healthy,Normal,Normal,Normal,Zero
App_Crash,Normal,Normal,Elevated,Spiking
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Memory_Leak,Normal,Critical,Elevated,Zero
Healthy,Normal,Normal,Normal,Zero
Network_Partition,Normal,Normal,Timeout,Zero
Compute_Overload,Critical,Normal,Elevated,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Network_Partition,Normal,Normal,Timeout,Zero
App_Crash,Normal,Normal,Elevated,Spiking
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Network_Partition,Normal,Normal,Timeout,Spiking
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Elevated,Zero
Healthy,Normal,Normal,Normal,Zero
Compute_Overload,Critical,Normal,Timeout,Zero
App_Crash,Normal,Normal,Elevated,Spiking
Healthy,Normal,Normal,Elevated,Zero
App_Crash,Normal,Normal,Normal,Spiking
Compute_Overload,Critical,Normal,Elevated,Zero
Healthy,High,Normal,Normal,Zero
Compute_Overload,Critical,Normal,Elevated,Zero
Compute_Overload,Critical,Normal,Elevated,Zero
Healthy,Normal,Normal,Normal,Zero
Compute_Overload,Critical,Normal,Elevated,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,High,Normal,Normal,Zero
App_Crash,Normal,Normal,Normal,Spiking
Network_Partition,Normal,Normal,Timeout,Spiking
Healthy,High,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Memory_Leak,Normal,Critical,Elevated,Zero
App_Crash,Normal,Normal,Normal,Spiking
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Memory_Leak,Normal,Critical,Elevated,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Memory_Leak,Normal,Critical,Elevated,Zero
Memory_Leak,Normal,Critical,Timeout,Zero
Compute_Overload,Critical,Normal,Elevated,Zero
Memory_Leak,Normal,High,Timeout,Zero
App_Crash,Normal,Normal,Normal,Spiking
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Compute_Overload,Critical,Normal,Elevated,Zero
App_Crash,Normal,Normal,Normal,Spiking
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Compute_Overload,High,Normal,Elevated,Zero
Compute_Overload,Critical,Normal,Timeout,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Network_Partition,Normal,Normal,Timeout,Spiking
Compute_Overload,Critical,Normal,Elevated,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Network_Partition,Normal,Normal,Timeout,Zero
Healthy,Normal,Normal,Elevated,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Network_Partition,Normal,Normal,Timeout,Spiking
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
App_Crash,Normal,Normal,Normal,Spiking
Compute_Overload,Critical,Normal,Elevated,Zero
Compute_Overload,Critical,Normal,Timeout,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Network_Partition,Normal,Normal,Timeout,Spiking
Compute_Overload,Critical,Normal,Elevated,Zero
Network_Partition,Normal,Normal,Timeout,Spiking
Healthy,Normal,Normal,Normal,Zero
Memory_Leak,Normal,Critical,Elevated,Zero
Compute_Overload,Critical,Normal,Elevated,Zero
App_Crash,Normal,Normal,Elevated,Spiking
Network_Partition,Normal,Normal,Timeout,Zero
Memory_Leak,Normal,Critical,Timeout,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Network_Partition,Normal,Normal,Timeout,Spiking
Compute_Overload,Critical,Normal,Elevated,Zero
App_Crash,Normal,Normal,Normal,Spiking
Network_Partition,Normal,Normal,Timeout,Spiking
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,High,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Elevated,Zero
Memory_Leak,Normal,High,Elevated,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Memory_Leak,Normal,Critical,Elevated,Zero
Compute_Overload,Critical,Normal,Elevated,Zero
Network_Partition,Normal,Normal,Timeout,Spiking
Compute_Overload,Critical,Normal,Elevated,Zero
Healthy,Normal,High,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,High,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Memory_Leak,Normal,Critical,Elevated,Zero
Memory_Leak,Normal,High,Elevated,Zero
App_Crash,Normal,Normal,Elevated,Spiking
Healthy,Normal,Normal,Normal,Zero
App_Crash,Normal,Normal,Normal,Spiking
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Compute_Overload,High,Normal,Timeout,Zero
Healthy,Normal,Normal,Normal,Zero
Compute_Overload,Critical,Normal,Timeout,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,High,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Compute_Overload,Critical,Normal,Elevated,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Elevated,Zero
Network_Partition,Normal,Normal,Timeout,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,High,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Compute_Overload,Critical,Normal,Timeout,Zero
App_Crash,Normal,Normal,Normal,Spiking
Memory_Leak,Normal,Critical,Elevated,Zero
Healthy,High,Normal,Normal,Zero
Healthy,Normal,Normal,Elevated,Zero
Healthy,Normal,Normal,Normal,Zero
Network_Partition,Normal,Normal,Timeout,Spiking
Healthy,High,Normal,Normal,Zero
Memory_Leak,Normal,Critical,Elevated,Zero
Memory_Leak,Normal,High,Elevated,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
App_Crash,Normal,Normal,Normal,Spiking
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
App_Crash,Normal,Normal,Normal,Spiking
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Memory_Leak,Normal,Critical,Elevated,Zero
Memory_Leak,Normal,Critical,Elevated,Zero
App_Crash,Normal,Normal,Normal,Spiking
App_Crash,Normal,Normal,Normal,Spiking
Network_Partition,Normal,Normal,Timeout,Spiking
Healthy,Normal,Normal,Normal,Zero
Memory_Leak,Normal,High,Elevated,Zero
Healthy,Normal,Normal,Normal,Zero
Memory_Leak,Normal,Critical,Elevated,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
App_Crash,Normal,Normal,Elevated,Spiking
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Elevated,Zero
Network_Partition,Normal,Normal,Timeout,Zero
Healthy,Normal,High,Normal,Zero
App_Crash,Normal,Normal,Normal,Spiking
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Elevated,Zero
Memory_Leak,Normal,Critical,Elevated,Zero
Healthy,Normal,Normal,Normal,Zero
Memory_Leak,Normal,Critical,Elevated,Zero
Memory_Leak,Normal,Critical,Elevated,Zero
Healthy,Normal,Normal,Normal,Zero
Compute_Overload,High,Normal,Elevated,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
App_Crash,Normal,Normal,Elevated,Spiking
Compute_Overload,High,Normal,Elevated,Zero
Healthy,Normal,Normal,Elevated,Zero
Memory_Leak,Normal,Critical,Elevated,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
App_Crash,Normal,Normal,Elevated,Spiking
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,High,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
App_Crash,Normal,Normal,Normal,Spiking
Network_Partition,Normal,Normal,Timeout,Spiking
Network_Partition,Normal,Normal,Timeout,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Elevated,Zero
Healthy,Normal,Normal,Normal,Zero
Memory_Leak,Normal,Critical,Timeout,Zero
Healthy,Normal,Normal,Normal,Zero
Compute_Overload,Critical,Normal,Elevated,Zero
Healthy,Normal,High,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Compute_Overload,Critical,Normal,Elevated,Zero
Network_Partition,Normal,Normal,Timeout,Spiking
Healthy,High,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Memory_Leak,Normal,High,Elevated,Zero
App_Crash,Normal,Normal,Normal,Spiking
Compute_Overload,Critical,Normal,Elevated,Zero
Healthy,Normal,Normal,Normal,Zero
App_Crash,Normal,Normal,Normal,Spiking
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Compute_Overload,Critical,Normal,Elevated,Zero
Network_Partition,Normal,Normal,Timeout,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Memory_Leak,Normal,Critical,Elevated,Zero
Memory_Leak,Normal,Critical,Timeout,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Network_Partition,Normal,Normal,Timeout,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
App_Crash,Normal,Normal,Normal,Spiking
Healthy,Normal,Normal,Elevated,Zero
App_Crash,Normal,Normal,Normal,Spiking
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,High,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Compute_Overload,High,Normal,Timeout,Zero
Healthy,Normal,Normal,Normal,Zero
App_Crash,Normal,Normal,Normal,Spiking
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Compute_Overload,Critical,Normal,Elevated,Zero
Healthy,Normal,Normal,Elevated,Zero
Compute_Overload,Critical,Normal,Elevated,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Memory_Leak,Normal,High,Elevated,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
App_Crash,Normal,Normal,Normal,Spiking
Memory_Leak,Normal,Critical,Timeout,Zero
Healthy,Normal,High,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Network_Partition,Normal,Normal,Timeout,Spiking
Healthy,Normal,High,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,High,Normal,Normal,Zero
Memory_Leak,Normal,High,Elevated,Zero
Healthy,Normal,Normal,Normal,Zero
Memory_Leak,Normal,Critical,Elevated,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Memory_Leak,Normal,High,Elevated,Zero
Memory_Leak,Normal,Critical,Elevated,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
App_Crash,Normal,Normal,Normal,Spiking
Memory_Leak,Normal,Critical,Elevated,Zero
Compute_Overload,Critical,Normal,Timeout,Zero
Healthy,Normal,Normal,Normal,Zero
Memory_Leak,Normal,Critical,Elevated,Zero
Healthy,Normal,Normal,Normal,Zero
Network_Partition,Normal,Normal,Timeout,Spiking
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,High,Normal,Elevated,Zero
Compute_Overload,Critical,Normal,Elevated,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
App_Crash,Normal,Normal,Normal,Spiking
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Memory_Leak,Normal,Critical,Elevated,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Memory_Leak,Normal,Critical,Elevated,Zero
App_Crash,Normal,Normal,Elevated,Spiking
Healthy,Normal,Normal,Normal,Zero
App_Crash,Normal,Normal,Elevated,Spiking
Network_Partition,Normal,Normal,Timeout,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Compute_Overload,High,Normal,Elevated,Zero
Healthy,Normal,Normal,Normal,Zero
App_Crash,Normal,Normal,Normal,Spiking
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Memory_Leak,Normal,Critical,Elevated,Zero
Healthy,High,Normal,Normal,Zero
Compute_Overload,Critical,Normal,Elevated,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
App_Crash,Normal,Normal,Normal,Spiking
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Network_Partition,Normal,Normal,Timeout,Spiking
Compute_Overload,Critical,Normal,Timeout,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
App_Crash,Normal,Normal,Normal,Spiking
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Compute_Overload,Critical,Normal,Elevated,Zero
Healthy,Normal,High,Normal,Zero
Network_Partition,Normal,Normal,Timeout,Spiking
Compute_Overload,Critical,Normal,Elevated,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
App_Crash,Normal,Normal,Elevated,Spiking
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Compute_Overload,Critical,Normal,Elevated,Zero
Network_Partition,Normal,Normal,Timeout,Zero
App_Crash,Normal,Normal,Normal,Spiking
App_Crash,Normal,Normal,Normal,Spiking
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Network_Partition,Normal,Normal,Timeout,Spiking
Healthy,High,Normal,Normal,Zero
App_Crash,Normal,Normal,Elevated,Spiking
Compute_Overload,Critical,Normal,Elevated,Zero
Memory_Leak,Normal,High,Elevated,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Memory_Leak,Normal,Critical,Elevated,Zero
Network_Partition,Normal,Normal,Timeout,Spiking
Memory_Leak,Normal,Critical,Timeout,Zero
Network_Partition,Normal,Normal,Timeout,Spiking
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,High,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
App_Crash,Normal,Normal,Elevated,Spiking
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,High,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Memory_Leak,Normal,High,Elevated,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Memory_Leak,Normal,Critical,Elevated,Zero
Healthy,Normal,Normal,Normal,Zero
Compute_Overload,Critical,Normal,Elevated,Zero
Memory_Leak,Normal,Critical,Elevated,Zero
Memory_Leak,Normal,Critical,Elevated,Zero
Healthy,Normal,Normal,Normal,Zero
Memory_Leak,Normal,Critical,Elevated,Zero
Healthy,Normal,Normal,Normal,Zero
Network_Partition,Normal,Normal,Timeout,Spiking
Network_Partition,Normal,Normal,Timeout,Spiking
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Compute_Overload,High,Normal,Elevated,Zero
Network_Partition,Normal,Normal,Timeout,Zero
Memory_Leak,Normal,Critical,Elevated,Zero
Compute_Overload,High,Normal,Elevated,Zero
Compute_Overload,Critical,Normal,Elevated,Zero
Healthy,Normal,Normal,Normal,Zero
App_Crash,Normal,Normal,Normal,Spiking
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Compute_Overload,Critical,Normal,Elevated,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Network_Partition,Normal,Normal,Timeout,Zero
Network_Partition,Normal,Normal,Timeout,Spiking
Healthy,Normal,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
Healthy,High,Normal,Normal,Zero
Healthy,Normal,Normal,Normal,Zero
App_Crash,Normal,Normal,Elevated,Spiking
App_Crash,Normal,Normal,Elevated,Spiking
Healthy,Normal,Normal,Elevated,Zero
Compute_Overload,Critical,Normal,Elevated,Zero
App_Crash,Normal,Normal,Normal,Spiking
Memory_Leak,Normal,Critical,Elevated,Zero
